RM,LSTAT,MEDV
5.613,27.26,15.7
5.693,17.19,16.2
6.431,15.39,18.0
5.637,18.34,14.3
6.458,12.6,19.2
6.326,12.26,19.6
6.372,11.12,23.0
5.822,15.03,18.4
5.757,17.31,15.6
6.335,16.96,18.1
5.942,16.9,17.4
6.454,14.59,17.1
5.857,21.32,13.3
6.151,18.46,17.8
6.174,24.16,14.0
5.019,34.41,14.4
5.403,26.82,13.4
5.468,26.42,15.6
4.903,29.29,11.8
6.13,27.8,13.8
5.628,16.65,15.6
4.926,29.53,14.6
5.186,28.32,17.8
5.597,21.45,15.4
6.122,14.1,21.5
5.404,13.28,19.6
5.012,12.12,15.3
5.709,15.79,19.4
6.129,15.12,17.0
6.152,15.02,15.6
5.272,16.14,13.1
6.943,4.59,41.3
6.066,6.43,24.3
6.51,7.39,23.3
6.25,5.5,27.0
7.489,1.73,50.0
7.802,1.92,50.0
8.375,3.32,50.0
5.854,11.64,22.7
6.101,9.81,25.0
7.929,3.7,50.0
5.877,12.14,23.8
6.319,11.1,23.8
6.402,11.32,22.3
5.875,14.43,17.4
5.88,12.03,19.1
5.572,14.69,23.1
6.416,9.04,23.6
5.859,9.64,22.6
6.546,5.33,29.4
6.02,10.11,23.2
6.315,6.29,24.6
6.86,6.92,29.9
6.98,5.04,37.2
7.765,7.56,39.8
6.144,9.45,36.2
7.155,4.82,37.9
6.563,5.68,32.5
5.604,13.98,26.4
6.153,13.15,29.6
7.831,4.45,50.0
6.782,6.68,32.0
6.556,4.56,29.8
7.185,5.39,34.9
6.951,5.1,37.0
6.739,4.69,30.5
7.178,2.87,36.4
6.8,5.03,31.1
6.604,4.38,29.1
7.875,2.97,50.0
7.287,4.08,33.3
7.107,8.61,30.3
7.274,6.62,34.6
6.975,4.56,34.9
7.135,4.45,32.9
6.162,7.43,24.1
7.61,3.11,42.3
7.853,3.81,48.5
8.034,2.88,50.0
5.891,10.87,22.6
6.326,10.97,24.4
5.783,18.06,22.5
6.064,14.66,24.4
5.344,23.09,20.0
5.96,17.27,21.7
5.404,23.98,19.3
5.807,16.03,22.4
6.375,9.38,28.1
5.412,29.55,23.7
6.182,9.47,25.0
5.888,13.51,23.3
6.642,9.69,28.7
5.951,17.92,21.5
6.373,10.5,23.0
6.951,9.71,26.7
6.164,21.46,21.7
6.879,9.93,27.5
6.618,7.6,30.1
8.266,4.14,44.8
8.725,4.63,50.0
8.04,3.13,37.6
7.163,6.36,31.6
7.686,3.92,46.7
6.552,3.76,31.5
5.981,11.65,24.3
7.412,5.25,31.7
8.337,2.47,41.7
8.247,3.95,48.3
6.726,8.05,29.0
6.086,10.88,24.0
6.631,9.54,25.1
7.358,4.73,31.5
6.481,6.36,23.7
6.606,7.37,23.3
6.897,11.38,22.0
6.095,12.4,20.1
6.358,11.22,22.2
6.393,5.19,23.7
5.593,12.5,17.6
5.605,18.46,18.5
6.108,9.16,24.3
6.226,10.15,20.5
6.433,9.52,24.5
6.718,6.56,26.2
6.487,5.9,24.4
6.438,3.59,24.8
6.957,3.53,29.6
8.259,3.54,42.8
6.108,6.57,21.9
5.876,9.25,20.9
7.454,3.11,44.0
8.704,5.12,50.0
7.333,7.79,36.0
6.842,6.9,30.1
7.203,9.59,33.8
7.52,7.26,43.1
8.398,5.91,48.8
7.327,11.25,31.0
7.206,8.1,36.5
5.56,10.45,22.8
7.014,14.79,30.7
8.297,7.44,50.0
7.47,3.16,43.5
5.92,13.65,20.7
5.856,13.0,21.1
6.24,6.59,25.2
6.538,7.73,24.4
7.691,6.58,35.2
6.758,3.53,32.4
6.854,2.98,32.0
7.267,6.05,33.2
6.826,4.16,33.1
6.482,7.19,29.1
6.812,4.85,35.1
7.82,3.76,45.4
6.968,4.59,35.4
7.645,3.01,46.0
7.923,3.16,50.0
7.088,7.85,32.2
6.453,8.23,22.0
6.23,12.93,20.1
6.209,7.14,23.2
6.315,7.6,22.3
6.565,9.51,24.8
6.861,3.33,28.5
7.148,3.56,37.3
6.63,4.7,27.9
6.127,8.58,23.9
6.009,10.4,21.7
6.678,6.27,28.6
6.549,7.39,27.1
5.79,15.84,20.3
6.345,4.97,22.5
7.041,4.74,29.0
6.871,6.07,24.8
6.59,9.5,22.0
6.495,8.67,26.4
6.982,4.86,33.1
7.236,6.93,36.1
6.616,8.93,28.4
7.42,6.47,33.4
6.849,7.53,28.2
6.635,4.54,22.8
5.972,9.97,20.3
4.973,12.64,16.1
6.122,5.98,22.1
6.023,11.72,19.4
6.266,7.9,21.6
6.567,9.28,23.8
5.705,11.5,16.2
5.914,18.33,17.8
5.782,15.94,19.8
6.382,10.36,23.1
6.113,12.73,21.0
6.426,7.2,23.8
6.376,6.87,23.1
6.041,7.7,20.4
5.708,11.74,18.5
6.415,6.12,25.0
6.431,5.08,24.6
6.312,6.15,23.0
6.083,12.79,22.2
5.868,9.97,19.3
6.333,7.34,22.6
6.144,9.09,19.8
5.706,12.43,17.1
6.031,7.83,19.4
6.316,5.68,22.2
6.31,6.75,20.7
6.037,8.01,21.1
5.869,9.8,19.5
5.895,10.56,18.5
6.059,8.51,20.6
5.985,9.74,19.0
5.968,9.29,18.7
7.241,5.49,32.7
6.54,8.65,16.5
6.696,7.18,23.9
6.874,4.61,31.2
6.014,10.53,17.5
5.898,12.67,17.2
6.516,6.36,23.1
6.635,5.99,24.5
6.939,5.89,26.6
6.49,5.98,22.9
6.579,5.49,24.1
5.884,7.79,18.6
6.728,4.5,30.1
5.663,8.05,18.2
5.936,5.57,20.6
6.212,17.6,17.8
6.395,13.27,21.7
6.127,11.48,22.7
6.112,12.67,22.6
6.398,7.79,25.0
6.251,14.19,19.9
5.362,10.19,20.8
5.803,14.64,16.8
8.78,5.29,21.9
3.561,7.12,27.5
4.963,14.0,21.9
3.863,13.33,23.1
4.97,3.26,50.0
6.683,3.73,50.0
7.016,2.96,50.0
6.216,9.53,50.0
5.875,8.88,50.0
4.906,34.77,13.8
4.138,37.97,13.8
7.313,13.44,15.0
6.649,23.24,13.9
6.794,21.24,13.3
6.38,23.69,13.1
6.223,21.78,10.2
6.968,17.21,10.4
6.545,21.08,10.9
5.536,23.6,11.3
5.52,24.56,12.3
4.368,30.63,8.8
5.277,30.81,7.2
4.652,28.28,10.5
5.0,31.99,7.4
4.88,30.62,10.2
5.39,20.85,11.5
5.713,17.11,15.1
6.051,18.76,23.2
5.036,25.68,9.7
6.193,15.17,13.8
5.887,16.35,12.7
6.471,17.12,13.1
6.405,19.37,12.5
5.747,19.92,8.5
5.453,30.59,5.0
5.852,29.97,6.3
5.987,26.77,5.6
6.343,20.32,7.2
6.404,20.31,12.1
5.349,19.77,8.3
5.531,27.38,8.5
5.683,22.98,5.0
4.138,23.34,11.9
5.608,12.13,27.9
5.617,26.4,17.2
6.852,19.78,27.5
5.757,10.11,15.0
6.657,21.22,17.2
4.628,34.37,17.9
5.155,20.08,16.3
4.519,36.98,7.0
6.434,29.05,7.2
6.782,25.79,7.5
5.304,26.64,10.4
5.957,20.62,8.8
6.824,22.74,8.4
6.411,15.02,16.7
6.006,15.7,14.2
5.648,14.1,20.8
6.103,23.29,13.4
5.565,17.16,11.7
5.896,24.39,8.3
5.837,15.69,10.2
6.202,14.52,10.9
6.193,21.52,11.0
6.38,24.08,9.5
6.348,17.64,14.5
6.833,19.69,14.1
6.425,12.03,16.1
6.436,16.22,14.3
6.208,15.17,11.7
6.629,23.27,13.4
6.461,18.05,9.6
6.152,26.45,8.7
5.935,34.02,8.4
5.627,22.88,12.8
5.818,22.11,10.5
6.406,19.52,17.1
6.219,16.59,18.4
6.485,18.85,15.4
5.854,23.79,10.8
6.459,23.98,11.8
6.341,17.79,14.9
6.251,16.44,12.6
6.185,18.13,14.1
6.417,19.31,13.0
6.749,17.44,13.4
6.655,17.73,15.2
6.297,17.27,16.1
7.393,16.74,17.8
6.728,18.71,14.9
6.525,18.13,14.1
5.976,19.01,12.7
5.936,16.94,13.5
6.301,16.23,14.9
6.081,14.7,20.0
6.701,16.42,16.4
6.376,14.65,17.7
6.317,13.99,19.5
6.513,10.29,20.2
6.209,13.22,21.4
5.759,14.13,19.9
5.952,17.15,19.0
6.003,21.32,19.1
5.926,18.13,19.1
5.713,14.76,20.1
6.167,16.29,19.9
6.229,12.87,19.6
6.437,14.36,23.2
6.98,11.66,29.8
5.427,18.14,13.8
6.162,24.1,13.3
6.484,18.68,16.7
5.304,24.91,12.0
6.185,18.03,14.6
6.229,13.11,21.4
6.242,10.74,23.0
6.75,7.74,23.7
7.061,7.01,25.0
5.762,10.42,21.8
5.871,13.34,20.6
6.312,10.58,21.2
6.114,14.98,19.1
5.905,11.45,20.6
5.454,18.06,15.2
5.414,23.97,7.0
5.093,29.68,8.1
5.983,18.07,13.6
5.983,13.35,20.1
5.707,12.01,21.8
5.926,13.59,24.5
5.67,17.6,23.1
5.39,21.14,19.7
5.794,14.1,18.3
6.019,12.92,21.2
5.569,15.1,17.5
6.027,14.33,16.8
6.593,9.67,22.4
6.12,9.08,20.6
6.976,5.64,23.9
6.794,6.48,22.0
6.03,7.88,11.9
